지점,지점명,일시,합계 일사량(MJ/m2)
95,철원,2023-03,495.74
95,철원,2023-04,493.02
95,철원,2023-05,668.51
95,철원,2023-06,619.53
95,철원,2023-07,565.94
95,철원,2023-08,517.99
95,철원,2023-09,450.16
95,철원,2023-10,418.2
95,철원,2023-11,263.88
95,철원,2023-12,208.16
95,철원,2024-01,275.31
95,철원,2024-02,270.93
95,철원,2024-03,456.37
95,철원,2024-04,553.23
95,철원,2024-05,669.74
95,철원,2024-06,735.4
95,철원,2024-07,448.01
95,철원,2024-08,597.5
95,철원,2024-09,440
95,철원,2024-10,338.82
95,철원,2024-11,286.9
95,철원,2024-12,276.26
95,철원,2025-01,258.53
95,철원,2025-02,377.89
95,철원,2025-03,486
95,철원,2025-04,572.68
95,철원,2025-05,576.36
95,철원,2025-06,593.23
95,철원,2025-07,573.34
95,철원,2025-08,530.64
95,철원,2025-09,425.38
95,철원,2025-10,286.91
95,철원,2025-11,292.75
95,철원,2025-12,209.9
98,동두천,2021-10,261.64
98,동두천,2021-11,258.11
98,동두천,2021-12,248.82
98,동두천,2022-01,291.73
98,동두천,2022-02,358.65
98,동두천,2022-03,420.72
98,동두천,2022-04,597.77
98,동두천,2022-05,715.03
98,동두천,2022-06,457.51
98,동두천,2022-07,534.41
98,동두천,2022-08,419.33
98,동두천,2022-09,483.74
98,동두천,2022-10,390.33
98,동두천,2022-11,275.56
98,동두천,2022-12,260.87
98,동두천,2023-01,273.05
98,동두천,2023-02,344.61
98,동두천,2023-03,490.39
98,동두천,2023-04,478.86
98,동두천,2023-05,640.74
98,동두천,2023-06,575.76
98,동두천,2023-07,509.53
98,동두천,2023-08,470.93
98,동두천,2023-09,429.03
98,동두천,2023-10,397.81
98,동두천,2023-11,265
98,동두천,2023-12,221.07
98,동두천,2024-01,265.52
98,동두천,2024-02,262.67
98,동두천,2024-03,451.79
98,동두천,2024-04,530.61
98,동두천,2024-05,634.12
98,동두천,2024-06,700.97
98,동두천,2024-07,402.69
98,동두천,2024-08,538.98
98,동두천,2024-09,415.65
98,동두천,2024-10,352.74
98,동두천,2024-11,284.53
98,동두천,2024-12,273.57
98,동두천,2025-01,245.26
98,동두천,2025-02,381.44
98,동두천,2025-03,484.71
98,동두천,2025-04,561.8
98,동두천,2025-05,560.31
98,동두천,2025-06,558.47
98,동두천,2025-07,530.39
98,동두천,2025-08,489.91
98,동두천,2025-09,412.79
98,동두천,2025-10,277.84
98,동두천,2025-11,290.71
98,동두천,2025-12,218.37
99,파주,2021-10,263.31
99,파주,2021-11,266.77
99,파주,2021-12,250.9
99,파주,2022-01,300.18
99,파주,2022-02,359.52
99,파주,2022-03,420.08
99,파주,2022-04,615.58
99,파주,2022-05,724.48
99,파주,2022-06,462.03
99,파주,2022-07,546.57
99,파주,2022-08,458.58
99,파주,2022-09,486.17
99,파주,2022-10,393.27
99,파주,2022-11,274.56
99,파주,2022-12,278.45
99,파주,2023-01,274.02
99,파주,2023-02,348.52
99,파주,2023-03,483.55
99,파주,2023-04,485.12
99,파주,2023-05,636.87
99,파주,2023-06,589.53
99,파주,2023-07,514.7
99,파주,2023-08,495.95
99,파주,2023-09,444.31
99,파주,2023-10,410.35
99,파주,2023-11,273.12
99,파주,2023-12,220.14
99,파주,2024-01,273.26
99,파주,2024-02,269.59
99,파주,2024-03,471.67
99,파주,2024-04,541.26
99,파주,2024-05,636.51
99,파주,2024-06,717.99
99,파주,2024-07,434.63
99,파주,2024-08,598.78
99,파주,2024-09,443.05
99,파주,2024-10,356.24
99,파주,2024-11,290.72
99,파주,2024-12,281.12
99,파주,2025-01,258.74
99,파주,2025-02,386.5
99,파주,2025-03,489.64
99,파주,2025-04,558.06
99,파주,2025-05,566.48
99,파주,2025-06,562.25
99,파주,2025-07,566.62
99,파주,2025-08,540.08
99,파주,2025-09,433
99,파주,2025-10,286.13
99,파주,2025-11,299.25
99,파주,2025-12,230.79
100,대관령,2016-01,301.19
100,대관령,2016-02,347.78
100,대관령,2016-03,452.05
100,대관령,2016-04,545.77
100,대관령,2016-05,696.47
100,대관령,2016-06,611.06
100,대관령,2016-07,477.65
100,대관령,2016-08,540.88
100,대관령,2016-09,324.85
100,대관령,2016-10,302.49
100,대관령,2016-11,275.14
100,대관령,2016-12,236.62
100,대관령,2017-01,299.91
100,대관령,2017-02,384.32
100,대관령,2017-03,451.66
100,대관령,2017-04,584.4
100,대관령,2017-05,666.37
100,대관령,2017-06,607.07
100,대관령,2017-07,465.82
100,대관령,2017-08,405.16
100,대관령,2017-09,479.29
100,대관령,2017-10,319.44
100,대관령,2017-11,301.67
100,대관령,2017-12,280.79
100,대관령,2018-01,304.65
100,대관령,2018-02,350.85
100,대관령,2018-03,445.11
100,대관령,2018-04,550.5
100,대관령,2018-05,565.92
100,대관령,2018-06,602.53
100,대관령,2018-07,556.56
100,대관령,2018-08,478.48
100,대관령,2018-09,358.66
100,대관령,2018-10,344.73
100,대관령,2018-11,227.38
100,대관령,2018-12,227.76
100,대관령,2019-01,269.29
100,대관령,2019-02,329.59
100,대관령,2019-03,471.59
100,대관령,2019-04,567.23
100,대관령,2019-05,761.87
100,대관령,2019-06,642.59
100,대관령,2019-07,492.46
100,대관령,2019-08,564.3
100,대관령,2019-09,385.85
100,대관령,2019-10,352.08
100,대관령,2019-11,289.37
100,대관령,2019-12,282.16
100,대관령,2020-01,279.03
100,대관령,2020-02,384.2
100,대관령,2020-03,559.7
100,대관령,2020-04,613.78
100,대관령,2020-05,638.57
100,대관령,2020-06,651.1
100,대관령,2020-07,509.92
100,대관령,2020-08,407.6
100,대관령,2020-09,383.28
100,대관령,2020-10,427.69
100,대관령,2020-11,326.01
100,대관령,2020-12,307.9
100,대관령,2021-01,310.63
100,대관령,2021-02,379.72
100,대관령,2021-03,493.87
100,대관령,2021-04,604.86
100,대관령,2021-05,587.01
100,대관령,2021-06,565.43
100,대관령,2021-07,688.81
100,대관령,2021-08,385.83
100,대관령,2021-09,406.56
100,대관령,2021-10,369.84
100,대관령,2021-11,305.65
100,대관령,2021-12,291.96
100,대관령,2022-01,338.91
100,대관령,2022-02,417.09
100,대관령,2022-03,475.59
100,대관령,2022-04,630.56
100,대관령,2022-05,750.69
100,대관령,2022-06,533.66
100,대관령,2022-07,563.54
100,대관령,2022-08,428.34
100,대관령,2022-09,458.29
100,대관령,2022-10,366.8
100,대관령,2022-11,321.04
100,대관령,2022-12,298.2
100,대관령,2023-01,319.42
100,대관령,2023-02,354.19
100,대관령,2023-03,529.28
100,대관령,2023-04,583.13
100,대관령,2023-05,638.07
100,대관령,2023-06,643.72
100,대관령,2023-07,556.43
100,대관령,2023-08,504.06
100,대관령,2023-09,431.29
100,대관령,2023-10,426.47
100,대관령,2023-11,308.68
100,대관령,2023-12,249.41
100,대관령,2024-01,301.53
100,대관령,2024-02,265.17
100,대관령,2024-03,432.38
100,대관령,2024-04,530.35
100,대관령,2024-05,573.93
100,대관령,2024-06,695.96
100,대관령,2024-07,468.15
100,대관령,2024-08,596.01
100,대관령,2024-09,396.67
100,대관령,2024-10,321.05
100,대관령,2024-11,274.61
100,대관령,2024-12,303.59
100,대관령,2025-01,297.78
100,대관령,2025-02,430.25
100,대관령,2025-03,472.27
100,대관령,2025-04,631.93
100,대관령,2025-05,626.43
